Country Name,child_mortality,exports,health,imports,income,inflation,life_expectancy,fertility_rate,gdp_pc,corruption,acc_clean_cooking
Turkiye,9.4,33.0742147083823,4.37,30.1190756147214,7621.52312657109,13.8677352522894,77.832,1.967,9215.44087472889,0.325625747442245,95.2
Turkmenistan,37.0,24.7336007327164,5.68183947,19.552158671004,5529.63486279932,4.38275226849976,69.002,2.74,7344.88020350303,1.39357078075409,99.9
Uganda,33.2,17.1090580167383,3.79834843,22.2519959480052,625.558300517492,3.00001181631713,62.991,4.809,823.024732902811,1.17657923698425,0.8
Ukraine,7.3,41.2316912560049,7.09,49.2795430350714,3234.33544921875,8.24622626642469,71.8273170731707,1.228,3661.45776367188,0.800242602825165,95.2
United Arab Emirates,5.0,96.6641687524381,4.38618946,70.7193961702784,41217.325314866,-3.19440940446903,79.726,1.334,45376.1708390447,-1.07211112976074,100.0
United States,5.5,11.7950067827852,16.66580582,14.4830481481335,55620.4038977132,1.67850787434747,78.7878048780488,1.706,65548.0707847572,-1.18073284626007,100.0
Uruguay,6.2,27.718333861424,9.39027691,21.6861777159971,15768.9402907901,8.25648932486875,77.508,1.546,18149.0562908315,-1.19540309906006,100.0
Uzbekistan,13.9,28.2980025068381,5.43,44.2203242262123,1446.20628205194,17.8148511042514,71.344,2.785,1795.20176845657,1.04689145088196,81.1
Vanuatu,16.8,50.3452768729642,3.31453276,49.0376919497441,3082.01542605654,3.27936283046665,69.877,3.813,3076.58988588361,0.284158378839493,7.25
Viet Nam,16.8,85.1575871009316,4.97407484,79.5466274303869,2829.36329375627,2.42322694229267,74.093,1.948,3491.09140990663,0.545818030834198,94.2
Zambia,42.2,34.6361926031881,6.75332499,34.1550123329079,1010.37320899909,7.63347048076743,62.793,4.451,1268.12094056241,0.673917531967163,11.1
